Mw,Amax,Liq,AvgDepth,Depthto,Svo,Esvo,"qc1N,cs",CSR,CRR
7.6,0.162,Yes,4.4,1.1,82,49,61.2,0.17,0.106
7.6,0.162,Yes,3.1,1.4,56,40,51.1,0.147,0.100
7.6,0.162,No,5.5,1.7,98,61,152.1,0.163,0.321
7.2,0.6,Yes,2.9,3.1,50,50,54.7,0.382,0.101
7.2,0.3,Yes,1.4,1.4,24,24,31.5,0.194,0.088
7,0.3,No,3.5,1,65,40,96.8,0.304,0.152
7.6,0.64,Yes,6.2,3.7,109,85,71,0.51,0.110
7.6,0.64,No,4.7,1.1,84,49,159.3,0.693,0.389
7.6,0.64,Yes,2.7,1.5,48,36,122.3,0.545,0.192
7.6,0.64,Yes,3.4,3,59,55,112.2,0.437,0.165
7.6,0.64,Yes,6.3,2.2,112,72,117.1,0.615,0.170
7.6,0.64,No,4.8,1.1,86,50,125,0.695,0.198
7.6,0.64,Yes,5.3,1.5,95,57,81.9,0.664,0.122
7.6,0.61,Yes,2,0.9,36,24,69.1,0.576,0.117
7.6,0.58,Yes,5.6,1.1,104,60,141.4,0.632,0.255
7.6,0.26,No,6.6,3.5,119,89,163.1,0.215,0.401
7.6,0.25,Yes,3.3,1.1,60,39,69.8,0.247,0.116
7.6,0.25,No,3.6,3.1,62,58,128.3,0.171,0.204
7.6,0.25,Yes,2.3,0.8,42,27,76.6,0.247,0.123
7.6,0.2,No,6.3,2.5,115,78,157.4,0.182,0.356
7.6,0.18,Yes,3.3,2.3,58,48,52.6,0.137,0.099
7.6,0.16,No,7.4,2.3,135,86,72.6,0.154,0.109
7.6,0.12,Yes,4,0.2,75,38,90.2,0.15,0.137
7.6,0.12,Yes,2,0.2,37,20,81.8,0.146,0.128
7.6,0.12,Yes,3.3,1,61,38,72.7,0.122,0.117
6.53,0.13,No,3.9,2.7,69,57,90.1,0.097,0.144
6.53,0.51,Yes,3.2,1.5,58,41,82.7,0.448,0.137
6.53,0.2,Yes,3.5,2.1,62,49,76.6,0.159,0.127
6.53,0.2,No,2.4,2.1,42,39,128.9,0.137,0.250
6.33,0.19,Yes,2.7,2.2,48,43,54.9,0.133,0.107
6.33,0.19,Yes,2.9,2,52,43,80.6,0.144,0.136
6.33,0.19,Yes,3,2.2,54,46,83.5,0.139,0.139
6.33,0.19,Yes,2.3,2,41,38,96.7,0.13,0.163
5.9,0.32,Yes,3.9,2.7,69,57,90.1,0.235,0.152
5.9,0.09,No,3.2,1.5,58,41,82.7,0.078,0.143
5.9,0.2,Yes,3.5,2.1,62,49,76.6,0.157,0.133
5.9,0.2,No,2.4,2.1,42,39,128.9,0.136,0.278
5.9,0.26,Yes,4.8,1.2,90,54,120.6,0.258,0.233
7.7,0.17,Yes,1.8,0.8,33,23,37.5,0.156,0.090
7.7,0.17,Yes,4.5,1,84,49,34.9,0.182,0.084
7.7,0.17,No,2.9,2.4,52,47,62,0.12,0.106
6.88,0.3,Yes,2.8,1.6,50,38,83,0.249,0.134
6.88,0.5,Yes,2.4,0.8,44,29,133.2,0.493,0.254
6.88,0.5,Yes,3.4,2.4,60,51,146.8,0.372,0.337
6.88,0.5,Yes,7.3,6.8,129,124,107.8,0.306,0.156
6.6,0.37,Yes,2.8,1.2,51,35,162.6,0.341,0.563
6.6,0.4,Yes,7.2,1.7,134,79,67.3,0.392,0.113
6.6,0.4,No,4.2,1.5,77,51,125.4,0.373,0.229
6.6,0.39,Yes,5.5,2.5,100,71,73,0.331,0.119
6.6,0.43,Yes,2.7,0.5,50,29,56.8,0.48,0.111
6.6,0.37,No,1.9,0.9,35,25,156.4,0.33,0.464
6.6,0.28,Yes,5.1,1.2,93,54,83.9,0.291,0.134
6.6,0.31,Yes,8,2.5,148,94,75.1,0.277,0.118
6.6,0.27,Yes,5.5,1.2,102,60,79.9,0.279,0.129
6.6,0.42,Yes,7.8,1.6,144,84,83,0.413,0.128
6.6,0.41,No,5.9,2.1,109,72,94.6,0.372,0.147
6.6,0.44,Yes,3.8,0.8,70,41,61.3,0.471,0.112
6.6,0.44,Yes,1.9,0.6,35,22,61.5,0.44,0.115
6.6,0.26,Yes,5,1.3,93,56,57.1,0.26,0.105
6.6,0.27,No,4.4,1.4,80,51,47,0.26,0.098
6.6,0.26,No,4.7,4.4,83,80,149.9,0.165,0.365
6.6,0.27,Yes,4.1,2.4,74,57,66.6,0.217,0.115
6.22,0.09,No,3.5,2.1,62,49,76.6,0.071,0.129
6.22,0.133,No,4.8,1.2,90,54,120.6,0.133,0.224
6.54,0.174,No,3.9,2.7,69,57,90.1,0.129,0.144
6.54,0.2,No,3.5,2.1,62,49,76.6,0.159,0.127
6.54,0.18,No,2.4,2.1,42,39,128.9,0.123,0.248
6.54,0.206,Yes,4.8,1.2,90,54,120.6,0.208,0.212
6.93,0.28,Yes,3.6,1.8,64,47,73.2,0.24,0.121
6.93,0.28,Yes,3.3,2.5,58,50,123.5,0.206,0.211
6.93,0.28,No,3.9,3.4,68,63,191.3,0.188,1.633
6.93,0.28,Yes,2.5,1.8,44,38,121,0.211,0.206
6.93,0.28,Yes,1.4,1.4,24,24,51,0.181,0.104
6.93,0.28,No,3.5,1.4,64,43,142.4,0.26,0.302
6.93,0.28,Yes,5,1.8,92,60,114.8,0.261,0.182
6.93,0.28,No,7,1.8,129,78,206.3,0.274,3.644
6.93,0.28,No,2.5,1.7,45,37,134.6,0.216,0.257
6.93,0.28,No,2,1.7,35,32,161.7,0.196,0.501
6.93,0.28,No,6.5,1.7,120,73,202.5,0.275,2.949
6.93,0.28,No,3.5,1.8,63,47,200.2,0.239,2.607
6.93,0.28,No,4.1,2.6,73,59,160.6,0.218,0.482
6.93,0.28,No,4.7,3.7,83,73,107.7,0.196,0.163
6.93,0.28,No,3.5,2,63,48,164.5,0.23,0.544
6.93,0.28,No,3.1,1.9,56,44,126.8,0.225,0.225
6.93,0.28,Yes,2.1,1.5,37,31,42.5,0.213,0.096
6.93,0.28,No,2.6,1.7,46,38,149.3,0.22,0.353
6.93,0.28,Yes,4.1,1.9,74,53,106.7,0.246,0.166
6.93,0.28,Yes,4.1,1.9,74,53,81,0.246,0.129
6.93,0.28,Yes,4.7,3,84,67,58.9,0.215,0.105
6.93,0.28,Yes,4.2,2.7,75,60,72.5,0.217,0.117
6.93,0.28,Yes,2.9,1.2,53,36,108.3,0.259,0.174
6.93,0.28,Yes,2,1,36,26,52.8,0.246,0.106
6.93,0.28,Yes,2.2,1,40,28,71.8,0.254,0.123
6.93,0.28,Yes,2.9,1.3,53,37,86.7,0.253,0.140
6.93,0.28,Yes,3.6,1.2,66,43,116.6,0.273,0.193
6.93,0.28,Yes,11,2.4,204,120,85.9,0.26,0.124
6.93,0.28,Yes,8.3,1.4,155,87,91.2,0.288,0.135
6.93,0.28,Yes,8.6,1.3,160,89,90.6,0.29,0.133
6.93,0.28,Yes,9.8,2.2,182,107,76.1,0.266,0.116
6.93,0.28,Yes,4.4,1.5,81,52,112.1,0.268,0.180
6.93,0.28,Yes,5.5,2.8,99,73,24.4,0.232,0.078
6.93,0.26,Yes,2.8,2.4,50,47,60.3,0.177,0.109
6.93,0.26,Yes,2.6,2.4,47,45,35.8,0.173,0.088
6.93,0.36,Yes,5.8,4.9,105,97,75.9,0.237,0.116
6.93,0.36,Yes,6.7,4.9,117,100,94.1,0.253,0.137
6.93,0.36,Yes,6,4.9,110,99,87,0.242,0.127
6.93,0.36,No,8.2,3,153,102,100.6,0.313,0.145
6.93,0.36,Yes,7.4,4.8,136,111,106.1,0.261,0.153
6.93,0.36,Yes,8,4.8,147,116,89.1,0.266,0.128
6.93,0.36,Yes,7.4,4.2,136,105,86.5,0.275,0.127
6.93,0.22,No,4.9,2.5,91,67,54.8,0.183,0.101
6.93,0.22,Yes,2.9,1.9,53,43,50.2,0.171,0.100
6.93,0.22,Yes,4.7,1.8,87,59,68.2,0.201,0.113
6.93,0.22,No,3.2,2.7,58,53,95.8,0.152,0.148
6.93,0.22,Yes,4.3,2.1,79,58,75,0.187,0.120
6.93,0.22,Yes,3.5,0.8,66,39,78.4,0.232,0.130
6.93,0.21,Yes,6,2.1,112,73,57.5,0.193,0.102
6.93,0.21,Yes,7.3,3,135,93,89.1,0.179,0.131
6.93,0.22,Yes,4.5,3.4,82,72,93.3,0.157,0.141
6.93,0.38,No,5.3,3.5,97,79,93.3,0.283,0.138
6.93,0.38,Yes,6,4.1,110,91,79.2,0.276,0.121
6.93,0.4,Yes,8.5,5.6,156,128,78.9,0.281,0.117
6.93,0.4,No,6.5,6.2,118,115,163.4,0.245,0.469
6.93,0.13,Yes,8.7,5,160,124,47.9,0.096,0.092
6.93,0.13,No,5.3,4.2,97,86,85.1,0.089,0.128
6.93,0.26,No,4,2.4,74,58,74,0.206,0.120
6.93,0.26,No,2.9,1.8,53,43,85.7,0.206,0.136
6.93,0.34,Yes,7.5,5,138,113,66.2,0.243,0.106
6.93,0.33,Yes,7,5.3,129,112,62,0.225,0.103
6.93,0.38,Yes,5.2,3.5,95,79,91.4,0.282,0.135
6.93,0.47,Yes,2.7,1.5,50,38,99.5,0.391,0.158
6.93,0.13,No,4.5,1.8,84,57,66.6,0.118,0.113
6.93,0.13,No,4,1.7,74,52,65.9,0.116,0.112
6.93,0.12,No,6.9,6.4,125,120,36.7,0.074,0.084
6.93,0.12,No,7.2,6.4,131,123,53.8,0.075,0.096
6.93,0.24,Yes,3.8,3,66,59,80.8,0.169,0.127
6.93,0.24,No,6.2,5.5,108,102,112.7,0.154,0.168
6.93,0.28,Yes,6.3,3,116,84,61.6,0.232,0.105
6.93,0.18,Yes,5.5,3.5,89,70,76.3,0.14,0.119
6.93,0.28,Yes,6.3,3,117,84,60.7,0.233,0.104
6.93,0.28,Yes,7.5,3,139,95,96.4,0.241,0.141
6.93,0.16,Yes,5,1.5,93,59,84.2,0.155,0.131
6.69,0.84,Yes,8.9,7.2,164,147,127.5,0.526,0.204
6.69,0.8,Yes,3.9,3.4,71,66,132.5,0.534,0.250
6.9,0.37,Yes,7,2,125,76,87.3,0.36,0.132
6.9,0.65,No,11.8,3.1,210,125,186.2,0.583,1.130
6.9,0.5,Yes,3.8,2,67,50,97.4,0.421,0.151
6.9,0.7,No,5,2.5,93,68,163.5,0.584,0.518
6.9,0.6,Yes,4.6,1.4,86,54,131.1,0.584,0.239
6.9,0.5,No,3.4,3,62,58,178.6,0.335,0.930
6.9,0.6,Yes,6.5,1.8,121,75,76.7,0.578,0.121
6.9,0.6,Yes,4.5,1.8,84,57,107.8,0.543,0.168
6.9,0.6,Yes,4,2.5,72,57,72.8,0.471,0.118
6.9,0.45,Yes,4.8,2.1,86,60,99.8,0.396,0.153
6.9,0.45,Yes,6,2.6,109,76,80.9,0.391,0.125
6.9,0.65,Yes,4.3,2,77,55,116.7,0.565,0.190
6.9,0.65,No,1.4,1,25,21,134.3,0.498,0.258
6.9,0.6,Yes,4.5,2.5,81,61,82.3,0.49,0.129
6.9,0.45,Yes,3.5,2.6,62,53,86.3,0.329,0.134
6.9,0.6,Yes,5.5,2.4,99,69,91.6,0.523,0.139
6.9,0.6,Yes,5.5,2.4,99,69,99.7,0.523,0.151
6.9,0.65,No,3.8,2,68,51,165.1,0.545,0.559
6.9,0.4,Yes,5.5,1.5,102,62,79.5,0.396,0.125
6.9,0.6,No,2.8,1.9,50,41,156.8,0.462,0.435
6.9,0.45,Yes,3.7,1.6,67,47,81.1,0.406,0.130
6.9,0.5,Yes,5.2,2,95,64,82,0.456,0.127
6.9,0.5,No,4.1,3,73,62,216.3,0.365,7.486
7.51,0.37,Yes,1.6,0.5,30,19,16.1,0.376,0.076
7.51,0.37,Yes,1.8,1,33,25,40.5,0.314,0.093
7.51,0.4,Yes,2.3,1,42,29,28.9,0.368,0.084
7.51,0.37,Yes,3.6,1,67,41,91,0.38,0.138
7.51,0.4,Yes,3.8,3.3,68,63,132.5,0.273,0.220
7.51,0.4,Yes,3.7,0.4,69,37,97.7,0.47,0.148
7.51,0.4,Yes,2.2,1.5,39,32,77.2,0.308,0.125
7.51,0.4,Yes,2.3,0.5,42,25,34.1,0.436,0.089
7.51,0.4,Yes,2.4,0.5,45,26,113.2,0.44,0.173
7.51,0.4,Yes,2.1,0.5,39,23,104.1,0.439,0.157
7.51,0.4,Yes,2.5,1.7,45,37,62.5,0.311,0.110
7.51,0.4,Yes,2.5,0.6,46,28,85.4,0.428,0.133
7.51,0.4,Yes,2.2,1.7,38,34,129.6,0.291,0.216
7.51,0.4,No,3.2,2.5,57,50,121.6,0.29,0.191
7.51,0.3,Yes,4.9,0.8,92,51,85.1,0.338,0.129
7.62,0.38,Yes,2.5,1,46,31,82.8,0.36,0.129
7.62,0.38,Yes,3.5,1,65,40,72.5,0.39,0.117
7.62,0.38,Yes,7,1,131,72,91.4,0.423,0.130
7.62,0.6,Yes,3,1.1,55,36,100.1,0.578,0.150
7.62,0.6,Yes,4.5,1.2,83,51,68.6,0.619,0.111
7.62,0.25,Yes,4.5,0.7,84,46,99.6,0.286,0.146
7.62,0.25,Yes,5,0.6,94,50,84.2,0.293,0.127
7.62,0.25,Yes,3.5,1.1,64,41,84.5,0.249,0.128
7.62,0.25,Yes,6.5,1.2,121,69,90.9,0.27,0.130
7.62,0.25,Yes,5.5,3.5,98,79,78.3,0.195,0.115
7.62,0.25,Yes,6,0.7,112,61,90.4,0.287,0.131
7,0.187,No,4.8,2,88,61,51.1,0.167,0.099
6.2,0.347,Yes,4.8,2,88,61,51.1,0.303,0.103
7,0.183,No,3.7,1.7,66,48,101.2,0.158,0.157
6.2,0.396,Yes,3.7,1.7,66,48,101.2,0.336,0.171
7,0.167,Yes,7.3,1.3,138,80,83.8,0.171,0.125
6.2,0.323,Yes,7.3,1.3,138,80,83.8,0.318,0.134
7,0.219,No,5.5,1.4,104,64,146.3,0.218,0.316
6.2,0.46,Yes,5.5,1.4,104,64,146.3,0.446,0.376
7,0.199,Yes,3.8,1.8,67,48,78.7,0.173,0.126
6.2,0.382,Yes,3.8,1.8,67,48,78.7,0.327,0.134
7,0.237,Yes,5.2,1,100,58,107.5,0.249,0.165
6.2,0.188,No,5.2,1,100,58,107.5,0.193,0.180
7,0.227,Yes,3.6,2,66,50,60.6,0.189,0.108
6.2,0.183,Yes,3.6,2,66,50,60.6,0.15,0.113
7,0.239,Yes,1.9,0.9,34,25,53.9,0.212,0.107
6.2,0.186,No,1.9,0.9,34,25,53.9,0.164,0.111
7,0.234,Yes,3.7,0.8,70,42,117.1,0.247,0.192
6.2,0.187,No,3.7,0.8,70,42,117.1,0.194,0.216
7,0.216,Yes,4.8,0.5,92,50,127.3,0.245,0.223
6.2,0.186,No,4.8,0.5,92,50,127.3,0.207,0.254
7,0.231,Yes,6.5,1.5,122,74,92.6,0.23,0.138
6.2,0.181,Yes,2,1.5,34,30,75.1,0.132,0.132
7,0.231,Yes,2.6,1.4,47,35,71,0.195,0.121
6.2,0.182,Yes,2.6,1.4,47,35,71,0.152,0.127
7,0.204,Yes,2,1.3,35,29,70.1,0.161,0.122
6.2,0.186,Yes,2,1.3,35,29,70.1,0.146,0.128
7,0.211,Yes,2.6,1.2,47,34,73.6,0.187,0.125
6.2,0.186,Yes,2.6,1.2,47,34,73.6,0.164,0.131
7,0.211,Yes,4.3,1.6,79,53,67.4,0.196,0.114
6.2,0.172,Yes,4.3,1.6,79,53,67.4,0.157,0.118
7,0.224,Yes,2.3,1.9,41,36,62,0.16,0.111
6.2,0.177,Yes,2.3,1.9,41,36,62,0.125,0.117
7,0.17,Yes,3.6,2,66,50,83.5,0.141,0.131
6.2,0.351,Yes,3.6,2,66,50,83.5,0.287,0.140
7,0.17,Yes,5.8,2,107,70,71.5,0.157,0.115
6.2,0.354,Yes,5.8,2,107,70,71.5,0.318,0.121
7,0.168,Yes,8.6,2.4,162,101,70.4,0.155,0.111
6.2,0.346,Yes,8.6,2.4,162,101,70.4,0.304,0.116
7,0.183,No,4.5,2.3,81,60,35.3,0.154,0.086
6.2,0.339,Yes,4.5,2.3,81,60,35.3,0.279,0.089
7,0.217,Yes,6.1,1.4,116,70,104.1,0.218,0.156
6.2,0.455,Yes,6.1,1.4,116,70,104.1,0.444,0.169
7,0.21,No,2.8,1,51,34,116.6,0.201,0.191
6.2,0.447,Yes,2.8,1,51,34,116.6,0.422,0.213
7,0.214,No,2.4,2,42,38,100.3,0.152,0.159
6.2,0.451,Yes,2.4,2,42,38,100.3,0.317,0.171
7,0.215,No,2.6,2,46,40,94.5,0.158,0.148
6.2,0.45,Yes,2.6,2,46,40,94.5,0.327,0.159
7,0.219,Yes,1.7,1.4,30,27,89.8,0.157,0.143
6.2,0.453,Yes,1.7,1.4,30,27,89.8,0.322,0.153
9,0.17,No,4.8,1.1,89,53,133.5,0.187,0.180
9,0.18,No,4.2,2.5,76,60,87.3,0.15,0.119
9,0.21,Yes,6.8,1.1,127,71,101.6,0.245,0.129
9,0.22,Yes,9,1.3,169,93,99.1,0.261,0.122
9,0.169,No,10.1,1.2,189,102,92.9,0.205,0.117
9,0.199,Yes,2.8,1.2,51,36,98,0.187,0.133
9,0.256,Yes,6.3,1.6,117,71,81.1,0.276,0.111
