"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
7,0.5,"Yes",7,0.5,127.25,63.49,175.1,0.5,"SWV"
7,0.4,"Yes",3.35,2,52.98,39.74,161,0.31,"SWV"
7,0.5,"Yes",5.3,2.1,88.83,56.95,175.5,0.42,"SWV"
7,0.6,"Yes",6.5,1.5,113.5,64.45,151.6,0.46,"SWV"
7,0.6,"Yes",5.5,2.1,92.53,58.69,165.1,0.47,"SWV"
7,0.6,"Yes",5.25,3,83.63,61.56,140.2,0.39,"SWV"
7,0.6,"Yes",5.75,2.5,95.13,63.25,153.1,0.42,"SWV"
7,0.6,"Yes",5.5,2.5,90.51,61.08,124.5,0.37,"SWV"
7,0.6,"Yes",6.15,3.1,100.06,69.65,189.2,0.46,"SWV"
7,0.5,"Yes",7.5,4,120.76,86.43,178.7,0.37,"SWV"
7,0.5,"Yes",9.5,4,157.76,103.81,184.1,0.39,"SWV"
7,0.5,"Yes",8,3.9,130.46,90.24,152.7,0.29,"SWV"
7,0.4,"Yes",3.25,2.5,48.88,41.52,205.1,0.31,"SWV"
7,0.4,"NO",3.55,3,52.09,46.74,240.9,0.29,"SWV"
7,0.4,"Yes",18.5,2.4,331.68,173.25,199.7,0.37,"SWV"
7,0.4,"NO",4.85,3.5,73.99,60.74,271.5,0.32,"SWV"
7,0.4,"NO",16,3.5,280.26,157.64,280.4,0.45,"SWV"
7,0.4,"NO",9,2.2,156.61,89.9,256.3,0.45,"SWV"
7,0.4,"NO",6.5,3.5,104.51,75.08,298.2,0.36,"SWV"
7,0.4,"NO",10.5,2.2,184.36,102.93,240.7,0.46,"SWV"
7,0.4,"NO",5.85,3.5,92.49,69.43,271.4,0.34,"SWV"
7,0.34,"Yes",6.85,3.5,110.99,78.12,199.8,0.28,"SWV"
7,0.3,"NO",12.5,2.9,218.21,124.03,247.9,0.32,"SWV"
7,0.5,"Yes",6.5,3.2,105.86,73.49,164,0.38,"SWV"
7,0.43,"Yes",13.45,3.7,232.19,136.54,159.8,0.41,"SWV"
7,0.35,"NO",5.3,1.6,90.85,54.56,237.7,0.4,"SWV"
7,0.5,"Yes",4.5,3.2,68.86,56.11,185.2,0.36,"SWV"
7,0.5,"Yes",4.5,3.6,67.06,58.23,178.3,0.35,"SWV"
7,0.5,"Yes",4.5,3.6,67.06,58.23,201.4,0.35,"SWV"
7,0.4,"Yes",5.5,2,92.76,58.42,162.1,0.34,"SWV"
7,0.6,"Yes",5.5,3,88.26,63.73,202.1,0.45,"SWV"
7,0.4,"Yes",6.5,2,117.42,73.27,178.6,0.34,"SWV"
7,0.5,"Yes",6.5,4,102.26,77.74,218.8,0.4,"SWV"
7,0.5,"Yes",2.5,1,41.75,27.04,214.8,0.48,"SWV"
7,0.5,"Yes",7,0.5,127.25,63.49,160.4,0.44,"SWV"
7.6,0.4,"Yes",6,1,106.5,57.45,203.6,0.44,"SWV"
7.6,0.4,"Yes",12.7,3,221.46,126.3,185.8,0.34,"SWV"
7.6,0.4,"Yes",3.25,1.5,53.38,36.21,194.2,0.38,"SWV"
7.6,0.4,"Yes",4.55,3,70.68,55.48,205.1,0.33,"SWV"
7.6,0.4,"NO",2.25,0.5,39.38,22.21,213.5,0.45,"SWV"
7.6,0.4,"Yes",2.5,0.5,44,24.38,170.9,0.45,"SWV"
7.6,0.66,"Yes",2.3,1,38.05,25.3,176.4,0.64,"SWV"
7.6,0.66,"Yes",2.15,0.9,35.73,23.47,173.8,0.64,"SWV"
7.6,0.66,"Yes",2.9,1.5,46.9,33.17,217.8,0.6,"SWV"
7.6,0.66,"Yes",4.25,1.5,71.88,44.9,151.3,0.65,"SWV"
7.6,0.66,"Yes",7,1.3,123.65,67.74,160.4,0.52,"SWV"
7.6,0.7,"Yes",3.15,1.3,52.43,34.28,147.4,0.67,"SWV"
7.6,0.66,"Yes",4.25,1.5,76,49.02,157.8,0.63,"SWV"
7.6,0.25,"Yes",9,1.5,159.75,86.18,161.3,0.2,"SWV"
7.4,0.4,"Yes",7.25,2.4,127.68,80.1,137.3,0.31,"SWV"
7.4,0.4,"Yes",7.5,2.4,132.43,82.4,146.7,0.31,"SWV"
6.8,0.33,"Yes",5.75,2,97.38,60.59,100.1,0.21,"SWV"
6.8,0.33,"Yes",6,2,102.01,62.77,129.5,0.21,"SWV"
6.8,0.38,"Yes",5.6,1,99.1,53.98,121.2,0.26,"SWV"
6.8,0.25,"Yes",2.5,1,41.75,27.04,158.4,0.23,"SWV"
6.8,0.25,"Yes",2.5,1,41.75,27.04,145.9,0.23,"SWV"
6.8,0.25,"Yes",2.5,1,41.75,27.04,168.2,0.21,"SWV"
6.8,0.25,"Yes",6.95,3,115.08,76.33,163.2,0.19,"SWV"
6.8,0.26,"Yes",10.5,1,189.75,96.56,179.3,0.23,"SWV"
7.9,0.36,"NO",1.75,0.5,33.2,20.94,280.5,0.37,"SWV"
7.9,0.36,"Yes",1.75,0.5,33.2,20.94,173.3,0.36,"SWV"
7.9,0.36,"NO",1.75,0.5,33.2,20.94,234.4,0.37,"SWV"
7.9,0.36,"NO",1.75,0.5,33.2,20.94,362.9,0.37,"SWV"
7.9,0.36,"NO",1.75,0.5,33.2,20.94,270.5,0.37,"SWV"
7.9,0.36,"NO",1.75,0.5,33.2,20.94,245.2,0.37,"SWV"
7.9,0.36,"Yes",1.75,0.5,33.2,20.94,205.8,0.37,"SWV"
7,0.39,"Yes",2.35,1,43.4,30.16,149.1,0.36,"SWV"
7,0.22,"NO",3,1,51,31.38,116.9,0.21,"SWV"
7,0.28,"NO",4.3,1.4,73.25,44.81,144.4,0.2,"SWV"
7,0.28,"NO",9,2.7,162.85,101.05,171.3,0.2,"SWV"
7,0.26,"Yes",4.6,2,76.11,50.6,140.9,0.25,"SWV"
7,0.26,"Yes",4.55,2,75.18,50.17,172.2,0.21,"SWV"
7,0.28,"NO",7.5,2.6,127.06,78.99,160.4,0.16,"SWV"
7,0.23,"NO",5.5,0.5,99.5,50.45,171.8,0.36,"SWV"
7,0.28,"NO",7.5,2.7,133.9,86.82,110.2,0.15,"SWV"
7,0.28,"NO",5.25,2.5,85.88,58.9,165.2,0.16,"SWV"
7,0.23,"NO",4.5,0.5,80.54,41.54,143.1,0.26,"SWV"
7,0.23,"NO",5.75,0.5,104.13,52.62,165.1,0.25,"SWV"
7.8,0.4,"Yes",7.6,2,131.61,76.67,159.3,0.13,"SWV"
7.8,0.4,"NO",6,1,106.5,57.45,127.9,0.12,"SWV"
7.8,0.4,"NO",4,1,69.5,40.07,139.5,0.14,"SWV"
7.8,0.4,"NO",4.5,1.6,76.12,47.53,197.6,0.13,"SWV"
7.8,0.4,"NO",6.15,1.5,107.03,61.41,134.8,0.14,"SWV"
7.8,0.4,"Yes",9,2,157.51,88.84,164.1,0.13,"SWV"
7.8,0.4,"NO",2.55,1.5,40.43,30.13,161.8,0.12,"SWV"
7.8,0.4,"Yes",6,2,102.01,62.77,126.6,0.13,"SWV"
7.8,0.4,"NO",3,2,46.51,36.7,125.2,0.1,"SWV"
7.8,0.09,"NO",6.5,1,115.75,61.8,109.9,0.05,"SWV"
7.1,0.13,"NO",6.5,1,115.75,61.8,109.9,0.05,"SWV"
6.6,0.68,"Yes",5,2.4,87.6,43.46,157.8,0.58,"SWV"
6.6,0.68,"Yes",3.5,2.4,62.04,29.67,136.7,0.68,"SWV"
6.5,0.33,"Yes",5.5,2.4,97.08,47.05,191,0.28,"SWV"
6.5,0.33,"Yes",5.5,2.4,97.08,47.05,193.4,0.28,"SWV"
9,0.27,"Yes",4.6,2.4,79.01,53.5,139,0.29,"SWV"
9,0.27,"Yes",4.55,2.4,78.06,53.04,139.5,0.25,"SWV"
7.4,0.4,"Yes",2.9,2.4,50.9,32.26,169.6,0.39,"SWV"
7.4,0.76,"Yes",7.5,2.4,131.17,84.08,111.1,0.4,"SWV"
7.4,0.36,"Yes",9,2.4,159.67,97.86,172.7,0.3,"SWV"
7.4,0.4,"Yes",4.5,2.4,82.93,43.93,141.2,0.41,"SWV"
7.4,0.4,"Yes",5.75,2.4,107.15,55.65,162.8,0.38,"SWV"
7.4,0.2,"Yes",6,2.4,107.15,55.65,165.6,0.42,"SWV"
7.4,0.76,"Yes",7.5,2.4,131.59,83.52,158.2,0.54,"SWV"
7.4,0.76,"Yes",4.3,2.4,75.82,47.38,142.5,0.73,"SWV"
7.4,0.38,"Yes",4.6,2.4,79.01,53.5,139,0.32,"SWV"
7.4,0.38,"Yes",4.55,2.4,78.06,53.04,169.9,0.27,"SWV"
7.6,0.162,"Yes",4.4,1.1,82,49,61.2,0.17,"CPT"
7.6,0.162,"Yes",3.1,1.4,56,40,51.1,0.147,"CPT"
7.6,0.162,"No",5.5,1.7,98,61,152.1,0.163,"CPT"
7.2,0.6,"Yes",2.9,3.1,50,50,54.7,0.382,"CPT"
7.2,0.3,"Yes",1.4,1.4,24,24,31.5,0.194,"CPT"
7,0.3,"No",3.5,1,65,40,96.8,0.304,"CPT"
7.6,0.64,"Yes",6.2,3.7,109,85,71,0.51,"CPT"
7.6,0.64,"No",4.7,1.1,84,49,159.3,0.693,"CPT"
7.6,0.64,"Yes",2.7,1.5,48,36,122.3,0.545,"CPT"
7.6,0.64,"Yes",3.4,3,59,55,112.2,0.437,"CPT"
7.6,0.64,"Yes",6.3,2.2,112,72,117.1,0.615,"CPT"
7.6,0.64,"No",4.8,1.1,86,50,125,0.695,"CPT"
7.6,0.64,"Yes",5.3,1.5,95,57,81.9,0.664,"CPT"
7.6,0.61,"Yes",2,0.9,36,24,69.1,0.576,"CPT"
7.6,0.58,"Yes",5.6,1.1,104,60,141.4,0.632,"CPT"
7.6,0.26,"No",6.6,3.5,119,89,163.1,0.215,"CPT"
7.6,0.25,"Yes",3.3,1.1,60,39,69.8,0.247,"CPT"
7.6,0.25,"No",3.6,3.1,62,58,128.3,0.171,"CPT"
7.6,0.25,"Yes",2.3,0.8,42,27,76.6,0.247,"CPT"
7.6,0.2,"No",6.3,2.5,115,78,157.4,0.182,"CPT"
7.6,0.18,"Yes",3.3,2.3,58,48,52.6,0.137,"CPT"
7.6,0.16,"No",7.4,2.3,135,86,72.6,0.154,"CPT"
7.6,0.12,"Yes",4,0.2,75,38,90.2,0.15,"CPT"
7.6,0.12,"Yes",2,0.2,37,20,81.8,0.146,"CPT"
7.6,0.12,"Yes",3.3,1,61,38,72.7,0.122,"CPT"
6.53,0.13,"No",3.9,2.7,69,57,90.1,0.097,"CPT"
6.53,0.51,"Yes",3.2,1.5,58,41,82.7,0.448,"CPT"
6.53,0.2,"Yes",3.5,2.1,62,49,76.6,0.159,"CPT"
6.53,0.2,"No",2.4,2.1,42,39,128.9,0.137,"CPT"
6.33,0.19,"Yes",2.7,2.2,48,43,54.9,0.133,"CPT"
6.33,0.19,"Yes",2.9,2,52,43,80.6,0.144,"CPT"
6.33,0.19,"Yes",3,2.2,54,46,83.5,0.139,"CPT"
6.33,0.19,"Yes",2.3,2,41,38,96.7,0.13,"CPT"
5.9,0.32,"Yes",3.9,2.7,69,57,90.1,0.235,"CPT"
5.9,0.09,"No",3.2,1.5,58,41,82.7,0.078,"CPT"
5.9,0.2,"Yes",3.5,2.1,62,49,76.6,0.157,"CPT"
5.9,0.2,"No",2.4,2.1,42,39,128.9,0.136,"CPT"
5.9,0.26,"Yes",4.8,1.2,90,54,120.6,0.258,"CPT"
7.7,0.17,"Yes",1.8,0.8,33,23,37.5,0.156,"CPT"
7.7,0.17,"Yes",4.5,1,84,49,34.9,0.182,"CPT"
7.7,0.17,"No",2.9,2.4,52,47,62,0.12,"CPT"
6.88,0.3,"Yes",2.8,1.6,50,38,83,0.249,"CPT"
6.88,0.5,"Yes",2.4,0.8,44,29,133.2,0.493,"CPT"
6.88,0.5,"Yes",3.4,2.4,60,51,146.8,0.372,"CPT"
6.88,0.5,"Yes",7.3,6.8,129,124,107.8,0.306,"CPT"
6.6,0.37,"Yes",2.8,1.2,51,35,162.6,0.341,"CPT"
6.6,0.4,"Yes",7.2,1.7,134,79,67.3,0.392,"CPT"
6.6,0.4,"No",4.2,1.5,77,51,125.4,0.373,"CPT"
6.6,0.39,"Yes",5.5,2.5,100,71,73,0.331,"CPT"
6.6,0.43,"Yes",2.7,0.5,50,29,56.8,0.48,"CPT"
6.6,0.37,"No",1.9,0.9,35,25,156.4,0.33,"CPT"
6.6,0.28,"Yes",5.1,1.2,93,54,83.9,0.291,"CPT"
6.6,0.31,"Yes",8,2.5,148,94,75.1,0.277,"CPT"
6.6,0.27,"Yes",5.5,1.2,102,60,79.9,0.279,"CPT"
6.6,0.42,"Yes",7.8,1.6,144,84,83,0.413,"CPT"
6.6,0.41,"No",5.9,2.1,109,72,94.6,0.372,"CPT"
6.6,0.44,"Yes",3.8,0.8,70,41,61.3,0.471,"CPT"
6.6,0.44,"Yes",1.9,0.6,35,22,61.5,0.44,"CPT"
6.6,0.26,"Yes",5,1.3,93,56,57.1,0.26,"CPT"
6.6,0.27,"No",4.4,1.4,80,51,47,0.26,"CPT"
6.6,0.26,"No",4.7,4.4,83,80,149.9,0.165,"CPT"
6.6,0.27,"Yes",4.1,2.4,74,57,66.6,0.217,"CPT"
6.22,0.09,"No",3.5,2.1,62,49,76.6,0.071,"CPT"
6.22,0.133,"No",4.8,1.2,90,54,120.6,0.133,"CPT"
6.54,0.174,"No",3.9,2.7,69,57,90.1,0.129,"CPT"
6.54,0.2,"No",3.5,2.1,62,49,76.6,0.159,"CPT"
6.54,0.18,"No",2.4,2.1,42,39,128.9,0.123,"CPT"
6.54,0.206,"Yes",4.8,1.2,90,54,120.6,0.208,"CPT"
6.93,0.28,"Yes",3.6,1.8,64,47,73.2,0.24,"CPT"
6.93,0.28,"Yes",3.3,2.5,58,50,123.5,0.206,"CPT"
6.93,0.28,"No",3.9,3.4,68,63,191.3,0.188,"CPT"
6.93,0.28,"Yes",2.5,1.8,44,38,121,0.211,"CPT"
6.93,0.28,"Yes",1.4,1.4,24,24,51,0.181,"CPT"
6.93,0.28,"No",3.5,1.4,64,43,142.4,0.26,"CPT"
6.93,0.28,"Yes",5,1.8,92,60,114.8,0.261,"CPT"
6.93,0.28,"No",7,1.8,129,78,206.3,0.274,"CPT"
6.93,0.28,"No",2.5,1.7,45,37,134.6,0.216,"CPT"
6.93,0.28,"No",2,1.7,35,32,161.7,0.196,"CPT"
6.93,0.28,"No",6.5,1.7,120,73,202.5,0.275,"CPT"
6.93,0.28,"No",3.5,1.8,63,47,200.2,0.239,"CPT"
6.93,0.28,"No",4.1,2.6,73,59,160.6,0.218,"CPT"
6.93,0.28,"No",4.7,3.7,83,73,107.7,0.196,"CPT"
6.93,0.28,"No",3.5,2,63,48,164.5,0.23,"CPT"
6.93,0.28,"No",3.1,1.9,56,44,126.8,0.225,"CPT"
6.93,0.28,"Yes",2.1,1.5,37,31,42.5,0.213,"CPT"
6.93,0.28,"No",2.6,1.7,46,38,149.3,0.22,"CPT"
6.93,0.28,"Yes",4.1,1.9,74,53,106.7,0.246,"CPT"
6.93,0.28,"Yes",4.1,1.9,74,53,81,0.246,"CPT"
6.93,0.28,"Yes",4.7,3,84,67,58.9,0.215,"CPT"
6.93,0.28,"Yes",4.2,2.7,75,60,72.5,0.217,"CPT"
6.93,0.28,"Yes",2.9,1.2,53,36,108.3,0.259,"CPT"
6.93,0.28,"Yes",2,1,36,26,52.8,0.246,"CPT"
6.93,0.28,"Yes",2.2,1,40,28,71.8,0.254,"CPT"
6.93,0.28,"Yes",2.9,1.3,53,37,86.7,0.253,"CPT"
6.93,0.28,"Yes",3.6,1.2,66,43,116.6,0.273,"CPT"
6.93,0.28,"Yes",11,2.4,204,120,85.9,0.26,"CPT"
6.93,0.28,"Yes",8.3,1.4,155,87,91.2,0.288,"CPT"
6.93,0.28,"Yes",8.6,1.3,160,89,90.6,0.29,"CPT"
6.93,0.28,"Yes",9.8,2.2,182,107,76.1,0.266,"CPT"
6.93,0.28,"Yes",4.4,1.5,81,52,112.1,0.268,"CPT"
6.93,0.28,"Yes",5.5,2.8,99,73,24.4,0.232,"CPT"
6.93,0.26,"Yes",2.8,2.4,50,47,60.3,0.177,"CPT"
6.93,0.26,"Yes",2.6,2.4,47,45,35.8,0.173,"CPT"
6.93,0.36,"Yes",5.8,4.9,105,97,75.9,0.237,"CPT"
6.93,0.36,"Yes",6.7,4.9,117,100,94.1,0.253,"CPT"
6.93,0.36,"Yes",6,4.9,110,99,87,0.242,"CPT"
6.93,0.36,"No",8.2,3,153,102,100.6,0.313,"CPT"
6.93,0.36,"Yes",7.4,4.8,136,111,106.1,0.261,"CPT"
6.93,0.36,"Yes",8,4.8,147,116,89.1,0.266,"CPT"
6.93,0.36,"Yes",7.4,4.2,136,105,86.5,0.275,"CPT"
6.93,0.22,"No",4.9,2.5,91,67,54.8,0.183,"CPT"
6.93,0.22,"Yes",2.9,1.9,53,43,50.2,0.171,"CPT"
6.93,0.22,"Yes",4.7,1.8,87,59,68.2,0.201,"CPT"
6.93,0.22,"No",3.2,2.7,58,53,95.8,0.152,"CPT"
6.93,0.22,"Yes",4.3,2.1,79,58,75,0.187,"CPT"
6.93,0.22,"Yes",3.5,0.8,66,39,78.4,0.232,"CPT"
6.93,0.21,"Yes",6,2.1,112,73,57.5,0.193,"CPT"
6.93,0.21,"Yes",7.3,3,135,93,89.1,0.179,"CPT"
6.93,0.22,"Yes",4.5,3.4,82,72,93.3,0.157,"CPT"
6.93,0.38,"No",5.3,3.5,97,79,93.3,0.283,"CPT"
6.93,0.38,"Yes",6,4.1,110,91,79.2,0.276,"CPT"
6.93,0.4,"Yes",8.5,5.6,156,128,78.9,0.281,"CPT"
6.93,0.4,"No",6.5,6.2,118,115,163.4,0.245,"CPT"
6.93,0.13,"Yes",8.7,5,160,124,47.9,0.096,"CPT"
6.93,0.13,"No",5.3,4.2,97,86,85.1,0.089,"CPT"
6.93,0.26,"No",4,2.4,74,58,74,0.206,"CPT"
6.93,0.26,"No",2.9,1.8,53,43,85.7,0.206,"CPT"
6.93,0.34,"Yes",7.5,5,138,113,66.2,0.243,"CPT"
6.93,0.33,"Yes",7,5.3,129,112,62,0.225,"CPT"
6.93,0.38,"Yes",5.2,3.5,95,79,91.4,0.282,"CPT"
6.93,0.47,"Yes",2.7,1.5,50,38,99.5,0.391,"CPT"
6.93,0.13,"No",4.5,1.8,84,57,66.6,0.118,"CPT"
6.93,0.13,"No",4,1.7,74,52,65.9,0.116,"CPT"
6.93,0.12,"No",6.9,6.4,125,120,36.7,0.074,"CPT"
6.93,0.12,"No",7.2,6.4,131,123,53.8,0.075,"CPT"
6.93,0.24,"Yes",3.8,3,66,59,80.8,0.169,"CPT"
6.93,0.24,"No",6.2,5.5,108,102,112.7,0.154,"CPT"
6.93,0.28,"Yes",6.3,3,116,84,61.6,0.232,"CPT"
6.93,0.18,"Yes",5.5,3.5,89,70,76.3,0.14,"CPT"
6.93,0.28,"Yes",6.3,3,117,84,60.7,0.233,"CPT"
6.93,0.28,"Yes",7.5,3,139,95,96.4,0.241,"CPT"
6.93,0.16,"Yes",5,1.5,93,59,84.2,0.155,"CPT"
6.69,0.84,"Yes",8.9,7.2,164,147,127.5,0.526,"CPT"
6.69,0.8,"Yes",3.9,3.4,71,66,132.5,0.534,"CPT"
6.9,0.37,"Yes",7,2,125,76,87.3,0.36,"CPT"
6.9,0.65,"No",11.8,3.1,210,125,186.2,0.583,"CPT"
6.9,0.5,"Yes",3.8,2,67,50,97.4,0.421,"CPT"
6.9,0.7,"No",5,2.5,93,68,163.5,0.584,"CPT"
6.9,0.6,"Yes",4.6,1.4,86,54,131.1,0.584,"CPT"
6.9,0.5,"No",3.4,3,62,58,178.6,0.335,"CPT"
6.9,0.6,"Yes",6.5,1.8,121,75,76.7,0.578,"CPT"
6.9,0.6,"Yes",4.5,1.8,84,57,107.8,0.543,"CPT"
6.9,0.6,"Yes",4,2.5,72,57,72.8,0.471,"CPT"
6.9,0.45,"Yes",4.8,2.1,86,60,99.8,0.396,"CPT"
6.9,0.45,"Yes",6,2.6,109,76,80.9,0.391,"CPT"
6.9,0.65,"Yes",4.3,2,77,55,116.7,0.565,"CPT"
6.9,0.65,"No",1.4,1,25,21,134.3,0.498,"CPT"
6.9,0.6,"Yes",4.5,2.5,81,61,82.3,0.49,"CPT"
6.9,0.45,"Yes",3.5,2.6,62,53,86.3,0.329,"CPT"
6.9,0.6,"Yes",5.5,2.4,99,69,91.6,0.523,"CPT"
6.9,0.6,"Yes",5.5,2.4,99,69,99.7,0.523,"CPT"
6.9,0.65,"No",3.8,2,68,51,165.1,0.545,"CPT"
6.9,0.4,"Yes",5.5,1.5,102,62,79.5,0.396,"CPT"
6.9,0.6,"No",2.8,1.9,50,41,156.8,0.462,"CPT"
6.9,0.45,"Yes",3.7,1.6,67,47,81.1,0.406,"CPT"
6.9,0.5,"Yes",5.2,2,95,64,82,0.456,"CPT"
6.9,0.5,"No",4.1,3,73,62,216.3,0.365,"CPT"
7.51,0.37,"Yes",1.6,0.5,30,19,16.1,0.376,"CPT"
7.51,0.37,"Yes",1.8,1,33,25,40.5,0.314,"CPT"
7.51,0.4,"Yes",2.3,1,42,29,28.9,0.368,"CPT"
7.51,0.37,"Yes",3.6,1,67,41,91,0.38,"CPT"
7.51,0.4,"Yes",3.8,3.3,68,63,132.5,0.273,"CPT"
7.51,0.4,"Yes",3.7,0.4,69,37,97.7,0.47,"CPT"
7.51,0.4,"Yes",2.2,1.5,39,32,77.2,0.308,"CPT"
7.51,0.4,"Yes",2.3,0.5,42,25,34.1,0.436,"CPT"
7.51,0.4,"Yes",2.4,0.5,45,26,113.2,0.44,"CPT"
7.51,0.4,"Yes",2.1,0.5,39,23,104.1,0.439,"CPT"
7.51,0.4,"Yes",2.5,1.7,45,37,62.5,0.311,"CPT"
7.51,0.4,"Yes",2.5,0.6,46,28,85.4,0.428,"CPT"
7.51,0.4,"Yes",2.2,1.7,38,34,129.6,0.291,"CPT"
7.51,0.4,"No",3.2,2.5,57,50,121.6,0.29,"CPT"
7.51,0.3,"Yes",4.9,0.8,92,51,85.1,0.338,"CPT"
7.62,0.38,"Yes",2.5,1,46,31,82.8,0.36,"CPT"
7.62,0.38,"Yes",3.5,1,65,40,72.5,0.39,"CPT"
7.62,0.38,"Yes",7,1,131,72,91.4,0.423,"CPT"
7.62,0.6,"Yes",3,1.1,55,36,100.1,0.578,"CPT"
7.62,0.6,"Yes",4.5,1.2,83,51,68.6,0.619,"CPT"
7.62,0.25,"Yes",4.5,0.7,84,46,99.6,0.286,"CPT"
7.62,0.25,"Yes",5,0.6,94,50,84.2,0.293,"CPT"
7.62,0.25,"Yes",3.5,1.1,64,41,84.5,0.249,"CPT"
7.62,0.25,"Yes",6.5,1.2,121,69,90.9,0.27,"CPT"
7.62,0.25,"Yes",5.5,3.5,98,79,78.3,0.195,"CPT"
7.62,0.25,"Yes",6,0.7,112,61,90.4,0.287,"CPT"
7,0.187,"No",4.8,2,88,61,51.1,0.167,"CPT"
6.2,0.347,"Yes",4.8,2,88,61,51.1,0.303,"CPT"
7,0.183,"No",3.7,1.7,66,48,101.2,0.158,"CPT"
6.2,0.396,"Yes",3.7,1.7,66,48,101.2,0.336,"CPT"
7,0.167,"Yes",7.3,1.3,138,80,83.8,0.171,"CPT"
6.2,0.323,"Yes",7.3,1.3,138,80,83.8,0.318,"CPT"
7,0.219,"No",5.5,1.4,104,64,146.3,0.218,"CPT"
6.2,0.46,"Yes",5.5,1.4,104,64,146.3,0.446,"CPT"
7,0.199,"Yes",3.8,1.8,67,48,78.7,0.173,"CPT"
6.2,0.382,"Yes",3.8,1.8,67,48,78.7,0.327,"CPT"
7,0.237,"Yes",5.2,1,100,58,107.5,0.249,"CPT"
6.2,0.188,"No",5.2,1,100,58,107.5,0.193,"CPT"
7,0.227,"Yes",3.6,2,66,50,60.6,0.189,"CPT"
6.2,0.183,"Yes",3.6,2,66,50,60.6,0.15,"CPT"
7,0.239,"Yes",1.9,0.9,34,25,53.9,0.212,"CPT"
6.2,0.186,"No",1.9,0.9,34,25,53.9,0.164,"CPT"
7,0.234,"Yes",3.7,0.8,70,42,117.1,0.247,"CPT"
6.2,0.187,"No",3.7,0.8,70,42,117.1,0.194,"CPT"
7,0.216,"Yes",4.8,0.5,92,50,127.3,0.245,"CPT"
6.2,0.186,"No",4.8,0.5,92,50,127.3,0.207,"CPT"
7,0.231,"Yes",6.5,1.5,122,74,92.6,0.23,"CPT"
6.2,0.181,"Yes",2,1.5,34,30,75.1,0.132,"CPT"
7,0.231,"Yes",2.6,1.4,47,35,71,0.195,"CPT"
